Fecha;Interno;Km
10-07-2024;7020;242,83
10-07-2024;7021;209,38
10-07-2024;7022;225,28
10-07-2024;7023;165,01
10-07-2024;7024;209,32
10-07-2024;7040;245,54
10-07-2024;7071;206,26
10-07-2024;7079;238,87
10-07-2024;7080;232,95
10-07-2024;7100;271,27
10-07-2024;7101;212,93
10-07-2024;7102;120,58
10-07-2024;7103;230,97
10-07-2024;7104;200,63
10-07-2024;7105;200,51
10-07-2024;7106;221,62
10-07-2024;7107;233,3
10-07-2024;7108;230,08
10-07-2024;7110;186,08
10-07-2024;7111;229,97
10-07-2024;7112;150,91
10-07-2024;7114;144,06
10-07-2024;7115;214,14
10-07-2024;7116;198,97
10-07-2024;7117;253,61
10-07-2024;7119;219,79
10-07-2024;7120;237,75
10-07-2024;7121;218,56
10-07-2024;7122;207,22
10-07-2024;7123;256,05
10-07-2024;7124;124,87
10-07-2024;7125;207,55
10-07-2024;7130;218,68
10-07-2024;7131;222,42
10-07-2024;7132;247,23
10-07-2024;7133;216,59
10-07-2024;7134;119,12
10-07-2024;7135;152,5
10-07-2024;7137;227,87
10-07-2024;7138;253,34
11-07-2024;3001;251,78
11-07-2024;3002;238,26
11-07-2024;3003;86,92
11-07-2024;3004;231,48
11-07-2024;3005;132,26
11-07-2024;3006;279,9
11-07-2024;3007;190,67
11-07-2024;3008;173,19
11-07-2024;3009;262,84
11-07-2024;3011;224,57
11-07-2024;3012;267,98
11-07-2024;3013;249,26
11-07-2024;3014;276,08
11-07-2024;3015;189,82
11-07-2024;3097;250,97
11-07-2024;3098;142,44
11-07-2024;3099;242,42
11-07-2024;3100;90,28
11-07-2024;3101;319,69
11-07-2024;3102;291,9
11-07-2024;3103;243,8
11-07-2024;3104;227,72
11-07-2024;3105;204,94
11-07-2024;3106;193,49
11-07-2024;3107;254,61
11-07-2024;3108;220,4
11-07-2024;3109;186,22
11-07-2024;3110;218,39
11-07-2024;3111;209,41
11-07-2024;3112;217,64
11-07-2024;3113;217,14
11-07-2024;3114;271,45
11-07-2024;3115;177,41
11-07-2024;3116;276,46
11-07-2024;7015;121,58
11-07-2024;7016;145,11
11-07-2024;7017;89,29
11-07-2024;7018;181,89
11-07-2024;7019;212,31
11-07-2024;7020;204,72
11-07-2024;7021;219,5
11-07-2024;7022;223,34
11-07-2024;7023;199,29
11-07-2024;7024;248,03
11-07-2024;7040;242,26
11-07-2024;7071;215,25
11-07-2024;7079;221,11
11-07-2024;7080;244,44
11-07-2024;7100;311,42
11-07-2024;7101;277,78
11-07-2024;7102;228,14
11-07-2024;7103;202,15
11-07-2024;7104;210,15
