Fecha;Interno;Patente;SOH [%];Terminal
07-01-2025;7106;SRVH33;92;PIE ANDINO
07-01-2025;7078;SPZY50;91;PIE ANDINO
07-01-2025;7062;SPZY16;92;PIE ANDINO
07-01-2025;7113;SRVK25;93;PIE ANDINO
07-01-2025;7061;SPZY15;91;PIE ANDINO
07-01-2025;7111;SRVJ48;92;PIE ANDINO
07-01-2025;7030;SPZX57;92;PIE ANDINO
07-01-2025;7059;SPZX98;92;PIE ANDINO
07-01-2025;7086;SPZY59;93;PIE ANDINO
07-01-2025;7052;SPZX82;91;PIE ANDINO
07-01-2025;7091;SPZY65;91;PIE ANDINO
07-01-2025;7110;SRVJ25;91;PIE ANDINO
07-01-2025;7035;SPZX65;92;PIE ANDINO
07-01-2025;7029;SPZX53;91;PIE ANDINO
07-01-2025;7038;SPZX68;91;PIE ANDINO
07-01-2025;7079;SPZY51;91;PIE ANDINO
07-01-2025;7069;SPZY31;91;PIE ANDINO
07-01-2025;7057;SPZX95;91;PIE ANDINO
07-01-2025;7082;SPZY55;92;PIE ANDINO
07-01-2025;7089;SPZY63;92;PIE ANDINO
07-01-2025;7046;SPZX76;91;PIE ANDINO
07-01-2025;7088;SPZY61;91;PIE ANDINO
07-01-2025;7054;SPZX84;91;PIE ANDINO
07-01-2025;7068;SPZY28;92;PIE ANDINO
07-01-2025;7097;SPZY71;92;PIE ANDINO
07-01-2025;7075;SPZY45;91;PIE ANDINO
